stringKey,stringContent
NAME_GAME_NAME,Những nhóm nói chuyện và đi bộ - 
NAME_AVATAR_1,Tia chớp 1
NAME_AVATAR_2,Quân sư
NAME_AVATAR_3,Chen Xiao Ming
NAME_AVATAR_4,Common Person
NAME_AVATAR_5,JiFeng
NAME_AVATAR_6,Tia chớp 2
NAME_AVATAR_7,Tia chớp 3
NAME_AVATAR_8,Li Crooked Neck
NAME_AVATAR_9,Nữ thần mặt trời
NAME_AVATAR_10,Slime Over
NAME_AVATAR_11,Slime Growth
NAME_AVATAR_12,Slime For
NAME_AVATAR_13,Slime Love
NAME_AVATAR_14,Slime Resist
NAME_AVATAR_15,Slime Disaster
NAME_AVATAR_16,Slime Donot
NAME_AVATAR_17,Slime Cherish
NAME_AVATAR_18,Si Warm Heart
NAME_AVATAR_19,Fa Princess Younger Sister
NAME_AVATAR_19_2,Autumn Yu
NAME_AVATAR_20,Silver Dragon
NAME_AVATAR_21,Slime Ten
NAME_AVATAR_22,Slime Thousand
NAME_AVATAR_23,Slime Years
NAME_AVATAR_24,Slime Life
NAME_AVATAR_25,Do King
NAME_AVATAR_26,Re Queen
NAME_AVATAR_27,Mi Princess Elder Sister
NAME_AVATAR_28,La Housekeeper
NAME_AVATAR_29,Sol Butler
NAME_AVATAR_30,Ba lô
NAME_AVATAR_31,Sổ ghi chú
NAME_AVATAR_32,Thư của {NAME_AVATAR_19}
NAME_AVATAR_33,Three Dragons Gang
NAME_AVATAR_34,Thư của {NAME_AVATAR_33}
